\begin{longtable}{lrrrrr}
\toprule
testcase & Nitems & value & weight & time & optimal \\
\midrule
\endfirsthead
\toprule
testcase & Nitems & value & weight & time & optimal \\
\midrule
\endhead
\midrule
\multicolumn{6}{r}{Continued on next page} \\
\midrule
\endfoot
\bottomrule
\endlastfoot
/00Uncorrelated/n01000/R10000/s009.kp & 1000 & 3932453 & 2555088 & 0 & True \\
/00Uncorrelated/n01000/R01000/s009.kp & 1000 & 393483 & 255729 & 0 & True \\
/00Uncorrelated/n02000/R10000/s009.kp & 2000 & 8160372 & 4851150 & 0 & True \\
/00Uncorrelated/n02000/R01000/s009.kp & 2000 & 816516 & 485559 & 0 & True \\
/00Uncorrelated/n00100/R10000/s009.kp & 100 & 364266 & 242347 & 0 & True \\
/00Uncorrelated/n00100/R01000/s009.kp & 100 & 36459 & 24262 & 0 & True \\
/00Uncorrelated/n10000/R10000/s009.kp & 10000 & 40249903 & 24771994 & 0 & True \\
/00Uncorrelated/n10000/R01000/s009.kp & 10000 & 4027410 & 2479420 & 0 & True \\
/00Uncorrelated/n05000/R10000/s009.kp & 5000 & 20128686 & 12220642 & 0 & True \\
/00Uncorrelated/n05000/R01000/s009.kp & 5000 & 2014059 & 1223184 & 0 & True \\
/00Uncorrelated/n00200/R10000/s009.kp & 200 & 784545 & 482744 & 0 & True \\
/00Uncorrelated/n00200/R01000/s009.kp & 200 & 78515 & 48331 & 0 & True \\
/00Uncorrelated/n00050/R10000/s009.kp & 50 & 183147 & 114430 & 0 & True \\
/00Uncorrelated/n00050/R01000/s009.kp & 50 & 18331 & 11457 & 0 & True \\
/00Uncorrelated/n00500/R10000/s009.kp & 500 & 1990637 & 1194207 & 0 & True \\
/00Uncorrelated/n00500/R01000/s009.kp & 500 & 199181 & 119530 & 0 & True \\
/01WeaklyCorrelated/n01000/R10000/s009.kp & 1000 & 2666130 & 2392259 & 0 & True \\
/01WeaklyCorrelated/n01000/R01000/s009.kp & 1000 & 266964 & 239451 & 0 & True \\
/01WeaklyCorrelated/n02000/R10000/s009.kp & 2000 & 5453334 & 4947358 & 0 & True \\
/01WeaklyCorrelated/n02000/R01000/s009.kp & 2000 & 546000 & 495187 & 0 & True \\
/01WeaklyCorrelated/n00100/R10000/s009.kp & 100 & 248539 & 222984 & 0 & True \\
/01WeaklyCorrelated/n00100/R01000/s009.kp & 100 & 24885 & 22316 & 0 & True \\
/01WeaklyCorrelated/n10000/R10000/s009.kp & 10000 & 27132774 & 24528449 & 0 & True \\
/01WeaklyCorrelated/n10000/R01000/s009.kp & 10000 & 2716776 & 2455079 & 0 & True \\
/01WeaklyCorrelated/n05000/R10000/s009.kp & 5000 & 13579520 & 12307795 & 0 & True \\
/01WeaklyCorrelated/n05000/R01000/s009.kp & 5000 & 1359652 & 1231894 & 0 & True \\
/01WeaklyCorrelated/n00200/R10000/s009.kp & 200 & 517905 & 465529 & 0 & True \\
/01WeaklyCorrelated/n00200/R01000/s009.kp & 200 & 51864 & 46603 & 0 & True \\
/01WeaklyCorrelated/n00050/R10000/s009.kp & 50 & 119733 & 108238 & 0 & True \\
/01WeaklyCorrelated/n00050/R01000/s009.kp & 50 & 11991 & 10836 & 0 & True \\
/01WeaklyCorrelated/n00500/R10000/s009.kp & 500 & 1323913 & 1198027 & 0 & True \\
/01WeaklyCorrelated/n00500/R01000/s009.kp & 500 & 132582 & 119918 & 0 & True \\
/02StronglyCorrelated/n01000/R10000/s009.kp & 1000 & 3100924 & 2388924 & 180 & False \\
/02StronglyCorrelated/n01000/R01000/s009.kp & 1000 & 310426 & 239226 & 180 & False \\
/02StronglyCorrelated/n02000/R10000/s009.kp & 2000 & 6349888 & 4942888 & 180 & False \\
/02StronglyCorrelated/n02000/R01000/s009.kp & 2000 & 635490 & 494790 & 180 & False \\
/02StronglyCorrelated/n00100/R10000/s009.kp & 100 & 294990 & 222990 & 2 & True \\
/02StronglyCorrelated/n00100/R01000/s009.kp & 100 & 29523 & 22323 & 1 & True \\
/02StronglyCorrelated/n10000/R10000/s009.kp & 10000 & 31577966 & 24523966 & 180 & False \\
/02StronglyCorrelated/n10000/R01000/s009.kp & 10000 & 3160178 & 2454878 & 180 & False \\
/02StronglyCorrelated/n05000/R10000/s009.kp & 5000 & 15829300 & 12303300 & 180 & False \\
/02StronglyCorrelated/n05000/R01000/s009.kp & 5000 & 1584494 & 1231894 & 180 & False \\
